text_type,output_step,current_word,current_text,dropped_triplets,total_triplets,triplet_scores
monocle,107,their,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their","[('Glasses | the monocle', 'has use', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | the monocle'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.47999998927116394, 0.6800000071525574, 0.2800000011920929, 0.4399999976158142, 0.38999998569488525, 0.10999999940395355, 0.28999999165534973, 0.17000000178813934, 0.18000000715255737, 0.12999999523162842, 0.11999999731779099]"
monocle,109,in,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in","[('Monocle | monocle', 'subclass of', 'Glasses | the monocle'), ('Monocle | It', 'subclass of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'instance of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.4000000059604645, 0.6600000262260437, 0.3100000023841858, 0.30000001192092896, 0.3499999940395355, 0.10999999940395355, 0.11999999731779099, 0.2199999988079071, 0.14000000059604645, 0.14000000059604645]"
monocle,110,the,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the","[('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | the monocle'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.44999998807907104, 0.6600000262260437, 0.3199999928474426, 0.41999998688697815, 0.4300000071525574, 0.1599999964237213, 0.3100000023841858, 0.12999999523162842, 0.23000000417232513, 0.23999999463558197, 0.12999999523162842, 0.14000000059604645]"
monocle,111,late,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late","[('Glasses | the monocle', 'has use', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Glasses | the monocle'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Glasses | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.4099999964237213, 0.7300000190734863, 0.23000000417232513, 0.38999998569488525, 0.5400000214576721, 0.12999999523162842, 0.36000001430511475, 0.27000001072883606, 0.28999999165534973, 0.18000000715255737, 0.11999999731779099]"
monocle,112,nineteenth,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth","[('Monocle | monocle', 'subclass of', 'Glasses | the monocle'), ('Glasses | the monocle', 'instance of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Monocle | the monocle'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'subclass of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.4000000059604645, 0.6800000071525574, 0.2199999988079071, 0.25, 0.47999998927116394, 0.10999999940395355, 0.3499999940395355, 0.20999999344348907, 0.10000000149011612, 0.25999999046325684, 0.1599999964237213, 0.14000000059604645]"
monocle,113,"century,","A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century,","[('Top hat | top hat', 'subclass of', 'Corrective lens | corrective lens')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Monocle | the monocle'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens')]","[0.3400000035762787, 0.7200000286102295, 0.33000001311302185, 0.25, 0.4300000071525574, 0.14000000059604645, 0.4699999988079071, 0.17000000178813934, 0.20000000298023224, 0.2800000011920929, 0.17000000178813934, 0.11999999731779099]"
monocle,114,monocles,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles","[('Monocle | monocle', 'subclass of', 'Monocle | the monocle')]","[('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3400000035762787, 0.7099999785423279, 0.3499999940395355, 0.33000001311302185, 0.10000000149011612, 0.4000000059604645, 0.14000000059604645, 0.14000000059604645, 0.10000000149011612, 0.2800000011920929, 0.14000000059604645, 0.15000000596046448, 0.10999999940395355]"
monocle,118,today.,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today.","[('Monocle | monocles', 'used by', 'Monocle | their')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.41999998688697815, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.23999999463558197, 0.2800000011920929, 0.10999999940395355]"
monocle,121,due,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due","[('Monocle | the monocle', 'has use', 'Glasses | lens'), ('Monocle | the monocle', 'subclass of', 'Glasses | lens'), ('Top hat | top hat', 'part of', 'Glasses | lens'), ('Top hat | top hat', 'instance of', 'Glasses | lens'), ('Top hat | top hat', 'subclass of', 'Glasses | lens'), ('Monocle | the monocle', 'instance of', 'Glasses | lens')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.2800000011920929, 0.10999999940395355]"
monocle,125,to,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to","[('Glasses | monocles', 'used by', 'Glasses | their')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.2800000011920929, 0.10999999940395355]"
monocle,132,better,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better","[('Top hat | top hat', 'subclass of', 'Glasses | the monocle')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Glasses | monocles', 'field of work', 'Optometry | optometry'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.2800000011920929, 0.18000000715255737, 0.10999999940395355]"
monocle,133,measurement,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement","[('Glasses | monocles', 'field of work', 'Optometry | optometry')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.2800000011920929, 0.11999999731779099, 0.18000000715255737, 0.11999999731779099, 0.10999999940395355]"
monocle,134,of,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of","[('Top hat | top hat', 'subclass of', 'Glasses | the monocle')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'used by', 'Glasses | the monocle'), ('Glasses | monocles', 'used by', 'Glasses | their'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.2800000011920929, 0.11999999731779099, 0.14000000059604645, 0.10999999940395355]"
monocle,135,refractive,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive","[('Glasses | monocles', 'used by', 'Glasses | their')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles'), ('Top hat | top hat', 'used by', 'Glasses | the monocle'), ('Monocle | monocles', 'used by', 'Monocle | monocles')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.2800000011920929, 0.11999999731779099, 0.10999999940395355, 0.10999999940395355, 0.11999999731779099, 0.10999999940395355]"
monocle,136,"error,","A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error,","[('Top hat | top hat', 'subclass of', 'Glasses | the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles'), ('Top hat | top hat', 'used by', 'Glasses | the monocle'), ('Top hat | top hat', 'subclass of', 'Glasses | the monocle')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocles', 'used by', 'Monocle | monocles'), ('Refractive error | refractive error', 'facet of', 'Optometry | optometry')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.2800000011920929, 0.10999999940395355, 0.27000001072883606]"
monocle,138,that,"A monocle is a type of corrective lens used to correct or enhance the vision in only one eye. It consists of a circular lens, generally with a wire ring around the circumference that can be attached to a string or wire. The other end of the string is then connected to the wearer's clothing to avoid losing the monocle. During the late nineteenth century, the monocle was generally associated with wealthy, upper-class men. Combined with a long coat and a top hat, the monocle completed the costume of the stereotypical late nineteenth century capitalist. Monocles were also accessories of military officers from this period. Despite their prevalence in the late nineteenth century, monocles are rarely worn today. This is due in large part to advances in optometry, which allow for better measurement of refractive error, so that","[('Top hat | top hat', 'facet of', 'Optometry | optometry')]","[('Monocle | monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | monocle', 'subclass of', 'Corrective lens | corrective lens'), ('Monocle | It', 'has use', 'Corrective lens | corrective lens'), ('Monocle | It', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'has use', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Monocle | the monocle', 'instance of', 'Corrective lens | corrective lens'), ('Upper-class citizen | upper-class men. Combined with a long coat', 'subclass of', 'Upper-class citizen | upper-class'), ('Top hat | top hat', 'has use', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'instance of', 'Corrective lens | corrective lens'), ('Top hat | top hat', 'part of', 'Corrective lens | corrective lens'), ('Monocle | monocles', 'used by', 'Monocle | monocles'), ('Refractive error | refractive error', 'facet of', 'Optometry | optometry'), ('Refractive error | refractive error', 'used by', 'Optometry | optometry')]","[0.3499999940395355, 0.7099999785423279, 0.3400000035762787, 0.10000000149011612, 0.33000001311302185, 0.14000000059604645, 0.4000000059604645, 0.14000000059604645, 0.10000000149011612, 0.15000000596046448, 0.14000000059604645, 0.2800000011920929, 0.10999999940395355, 0.46000000834465027, 0.5299999713897705]"
